title,description,appears on,artist,writers,producer,released,streak
Juicy,"Biggie's debut single chronicled the rapper's rise from ""a common thief to up close and personal with Robin Leach."" He rhymes about his childhood poverty growing up in the Clinton Hill section of Brooklyn (although he claimed to be from Bed-Stuy) — despite protests from his mom. ""I told him, 'No landlord dissed us!'"" said Voletta Wallace. ""He said, 'Mom, I was just writing a rags-to-riches kinda story.'""",Ready to Die (Bad Boy),The Notorious B.I.G.,The Notorious B.I.G.,"Sean ""Puffy"" Combs, Poke","Aug '94, Bad Boy",20 weeks; No. 27
The Boys of Summer,"Henley gave California rock a stylish Eighties makeover with this poignant lament for his generation, featuring the famous line ""Out on the road today/I saw a Deadhead sticker on a Cadillac."" When the Ataris did their hit punk-rock cover version in 2003, they changed it to a Black Flag sticker — but the sentiment was the same.",Building the Perfect Beast (Geffen),Don Henley,"Henley, Mike Campbell","Henley, Campbell, Danny Kortchmar, Greg Ladanyi","Nov. '84, Geffen",22 weeks; No. 5
Cant Help Myself,"""My real style of singing is just a natural thing,"" said Four Tops frontman Levi Stubbs. ""What I mean by that is I don't consider myself as being a heck of a singer, man. I'm more of a stylist, if you will."" His soul stylings sent this Tops classic to Number One — after the four original members had already been performing together for 10 years.",The Ultimate Collection (Motown),The Four Tops,"Eddie Holland, Lamont Dozier, Brian Holland","Holland, Dozier, Holland","June '65, Motown",14 weeks; No. 1
Young Blood,"The Coasters were named after the West Coast, home turf of the four singers. After evolving from the doo-wop group the Robins, the Coasters had a couple of small R&B hits, ""Down in Mexico"" and ""Turtle Dovin'."" But after almost a year away from the studio, the group relocated to New York and cut its first blockbuster.",The Very Best of the Coasters (Rhino),The Coasters,"Jerry Leiber, Mike Stoller, Doc Pomus","Leiber, Stoller","May '57, Atco",11 weeks; No. 1
The Girl Cant Help It,"Richard screamed the theme from one of the first great rock movies, starring Jayne Mansfield. ""She was a wonderful person,"" Richard said. ""Her breasts were 50 inches, and she didn't wear a brassiere. They didn't hang down.""",The Georgia Peach (Specialty),Little Richard,Bobby Troup,"Robert ""Bumps"" Blackwell","Jan. '57, Specialty",8 weeks; No. 49
Ode to Billie Joe,"Once and for all: Exactly what did Billie Joe throw off the Tallahatchee Bridge? Gentry never revealed the secret of this spooky country blues. ""The real message,"" she said, ""revolves around the way the nonchalant family talks about the suicide.""",Greatest Hits (Curb),Bobbie Gentry,Gentry,"Kelly Gordon, Bobby Paris","July '67, Capitol",14 weeks; No. 1
I Feel Love,"Summer would dismiss ""I Feel Love"" as a ""popcorn track,"" but its impact on dance music is incalculable. When Brian Eno first listened to this, he told David Bowie, ""I've heard the sound of the future."" Thanks to Moroder's throbbing Moog synthesizers and Summer's epic-orgasm vocals, ""I Feel Love"" claimed tomorrow in the name of disco.",The Donna Summer Anthology (Casablanca),Donna Summer,"Summer, Giorgio Moroder, Pete Bellotte","Moroder, Bellotte","May '77, Casablanca",23 weeks; No. 6
Monkey Gone to Heaven,"Numerology, sludge in the ocean, a hole in the sky — what's it all supposed to mean? Said Francis (a.k.a. Frank Black), ""The phrase 'monkey gone to heaven' just sounds neat."" Norton cleaned up the band's sound, adding the eerie strings, but the Pixies didn't bother to try for pop appeal. Said Francis, ""It wasn't like we thought we'd get played on the radio.""",Doolittle (4 AD/Elektra),Pixies,Black Francis,Gil Norton,"March '89, Elektra",Did Not Chart
Sweet Emotion,"As the sessions for Toys in the Attic, Aerosmith's third studio album, reached the 11th hour at the Record Plant in New York, producer Douglas called out for ideas. Bassist Hamilton resurrected a riff that had been germinating for several years, and it was outfitted with bass marimba and Joe Perry's voice-box recitation of the song title. A few months later, Aerosmith had their first Top 40 single.",Toys in the Attic (Sony),Aerosmith,"Steven Tyler, Tom Hamilton",Jack Douglas,"April '75, Columbia",8 weeks; No. 36
In Bloom,"""I don't like rednecks, I don't like macho men,"" Cobain once said. This track about a guy who ""loves to shoot his gun"" would become one of Nirvana's biggest live anthems. It started out as more of a hardcore rant. ""It sounded like a Bad Brains song,"" said Nirvana bassist Krist Novoselic. Then, ""One day Kurt called me and started singing. It was the 'In Bloom' of Nevermind, more of a pop thing.""",Nevermind (Geffen),Nirvana,Kurt Cobain,Butch Vig,"Sept. '91, DGC",Non-Single
Weve Only Just Begun,"""Begun"" began life as a TV jingle for a California bank that caught Richard Carpenter's ear. He called Williams to see if there was an actual song attached to the short bit he'd heard. ""I assumed that it would never, ever get cut again,"" Williams said. He wrote several hits for the Carpenters, but this soft-rock ode remains the watershed. Richard later called it ""our best single.""",Singles 1969-1981 (Interscope),Carpenters,"Paul Williams, Roger Nichols",Jack Daugherty,"Sept. '70, A&M",17 weeks; No. 2
Visions of Johanna,"""It's easier to be disconnected than connected,"" Dylan confessed in late 1965. ""I've got a huge hallelujah for all the people who're connected, that's great, but I can't do that."" He never sounded lonelier than in this seven-minute ballad, originally titled ""Seems Like a Freeze-Out."" Dylan cut it in a single take on Valentine's Day 1966, with Al Kooper on Hammond B3 organ.",Blonde on Blonde (Columbia),Bob Dylan,Dylan,Bob Johnston,"May '66, Columbia",Non-Single
Umbrella,"The songwriters initially offered the track to Britney Spears, whose career was spiraling out of control. ""We thought, 'Let's save our friend,' "" the-Dream says. But Spears' management brushed them off. ""I'm so thankful for it,"" Rihanna said. ""I prayed for this song.""",Good Girl Gone Bad (Def Jam),Rihanna Featuring Jay-Z,"The-Dream, Kuk Harrell, Jay-Z, Christopher ""Tricky"" Stewart","Harrell, Stewart","March' 07, Def Jam",27 weeks; No. 1
Cmon Everybody,"Cochran was paid $82.50 for the three-hour session that produced this classic rockabilly track. The follow-up to his smash ""Summertime Blues,"" ""C'mon"" is a good-natured bad-boy tune powered by heavy strumming on his Martin guitar. Although he died at age 21, in a 1960 car crash that also seriously injured rockabilly pioneer Gene Vincent, Cochran became a huge influence in England.",Something' Else (Razor and Tie),Eddie Cochran,"Cochran, Jerry Capehart",Capehart,"Oct. '58, Liberty",12 weeks; No. 35
Thank You (Falettinme Be Mice Elf Agin),"The double-sided smash ""Thank You""/""Everybody Is a Star"" was Sly's sole new release in 1970. ""Thank You"" rode on the finger-popping bass of Larry Graham, who played like that in a duo with his organist mother. ""I started to thump the strings with my thumb,"" he said, ""to make up for not having a drummer.""",Anthology (Epic),Sly and the Family Stone,Sly Stone,Stone,"Jan. '70, Epic",13 weeks; No. 1
Tonights the Night,"The Shirelles, who originally called themselves the Pequellos, formed while at their Passaic, New Jersey, high school. Lead singer Owens was only 19 when she co-wrote this hit about romantic surrender, full of Latin-style syncopation and soulful yearning.",25 All-Time Greatest Hits (Varèse Fontana),The Shirelles,"Luther Dixon, Shirley Owens",Dixon,"Sept. '60, Scepter",12 weeks; No. 39
Enter Sandman,"Thanks to producer Rock, the coiled, brooding ""Enter Sandman"" was the first Metallica tune that sounded perfect for the radio. As drummer Ulrich pointed out in 1991, ""The whole intro, the verse, the bridge, the chorus — it's the same riff.""",Metallica (Elektra),Metallica,"James Hetfield, Lars Ulrich, Kirk Hammett","Bob Rock, Hetfield, Ulrich","July '91, Elektra",20 weeks; No. 16
Sweet Home Alabama,"Van Zant sang this pissed-off answer to Neil Young's ""Southern Man,"" and even Young loved it. ""I'd rather play 'Sweet Home Alabama' than 'Southern Man' anytime,"" Young said. The admiration was mutual; Van Zant wore a Young T-shirt on the cover of Skynyrd's final album, Street Survivors, and according to legend, he is buried in the shirt.",Second Helping (MCA),Lynyrd Skynyrd,"Ed King, Gary Rossington, Ronnie Van Zant",Al Kooper,"April '74, MCA",17 weeks; No. 8
Thirteen,"Chilton wrote this acoustic ballad about two kids in love with rock & roll, featuring the deathless couplet ""Won't you tell your dad, 'Get off my back'/Tell him what we said about 'Paint It Black.'"" It's simple musically; as Chilton said, ""I was still learning to play and stuff."" It never came out as a single or got any radio play, but ""Thirteen"" is one of rock's most beautiful celebrations of adolescence.",#1 Record/Radio City (Fantasy),Big Star,"Alex Chilton, Chris Bell",John Fry,"April '72, Ardent",Non-Single
(Dont Fear) the Reaper,"This Long Island band's death trip was picked by Rolling Stone critics as the best rock single of 1976. With its ghostly guitars and cowbell, ""Reaper"" has added chills to horror flicks from Halloween to The Stand. Bonus points for the crackpot theology about how ""40,000 men and women every day"" join Romeo and Juliet in eternity.",Agents of Fortune (Columbia),Blue Öyster Cult,Donald Roeser,"Murray Krugman, Sandy Pearlman, David Lucas","July '76, Columbia",14 weeks; No. 12
Remember (Walkin in the Sand),"The Shangri-Las, two sets of sisters from Queens, were in high school when producer Morton hired them to record ""Remember"" — a tune he claimed to have written in 20 minutes on the way to the studio. One story has it that a 15-year-old Billy Joel played piano on the session. Morton went on to produce the New York Dolls.",The Best of the Shangri-Las (Mercury),The Shangri-Las,"George ""Shadow"" Morton",Morton,"Aug. '64, Red Bird",11 weeks; No. 5
Cant Help Falling in Love,"This adaptation of Giovanni Martini's 18th-century song ""Plaisir d'Amour"" was given to Elvis for his movie Blue Hawaii — hence the Hawaiian steel guitar. But this was no vacation for Presley: It took him 29 takes to nail his exquisitely gentle vocals. The song became the closing number for most of his Seventies concerts.",Elvis 30 #1 Hits (RCA),Elvis Presley,"George Weiss, Hugo Peretti, Luigi Creatore",Joseph Lilley,"Oct. '61, RCA",14 weeks; No. 1
O-o-h Child,"""O-o-h Child"" gave the Five Stairsteps — four brothers and a sister from Chicago — a pop-soul classic that rivaled the hits of another sibling gang, the Jackson 5. The children of police detective Clarence Burke, the Five Stairsteps, who played their own instruments as well as sang, ranged in age from 13 to 17 when Curtis Mayfield signed them to his Windy C label.",Soul Hits of the '70s: Didn't It Blow Your Mind! Vol. 2 (Rhino),The Five Stairsteps,Stan Vincent,Vincent,"April '70, Buddha",16 weeks; No. 8
Summer in the City,"""Summer in the City"" was a stylistic turn for the Lovin' Spoonful — tougher and less daydreamy. ""We felt the only way we could stick out would be to sound completely different from one single to another,"" said John Sebastian. With a barrage of car horns on the bridge, the record evoked its subject with urban grit and Gershwin-esque grandeur.",The Lovin' Spoonful Greatest Hits (Buddha),The Lovin' Spoonful,"John Sebastian, Steve Boone, Mark Sebastian",Erik Jacobsen,"June '66, Kama Sutra",11 weeks; No. 1
Baby I Need Your Loving,"The Four Tops were playing a Detroit nightclub when they got a call from Brian Holland saying he had a song ready for them. After their show ended, they arrived at Hitsville at 2 a.m. to record ""Baby I Need Your Loving,"" which would become their first single for Motown.",The Ultimate Collection (Motown),The Four Tops,"Brian Holland, Lamont Dozier, Eddie Holland","Holland, Dozier, Holland","July '64, Motown",12 weeks; No. 11
Just My Imagination,"Eddie Kendricks, who'd sung lead on the Temptations' first hit, ""The Way You Do the Things You Do"" in 1964, took his last lead as a Tempt. By the time the song hit Number One, Kendricks had left the group for a solo career. But he gave this one his all: Tempt Otis Williams said he left the studio at 6 a.m. the night they cut it, and Kendricks was still there, working out his part.",Anthology (Motown),The Temptations,"Norman Whitfield, Barrett Strong",Whitfield,"Jan. '71, Gordy",15 weeks; No. 1
Roxanne,"""That song has been the turnaround for us,"" Stewart Copeland told Rolling Stone. Sting came up with the idea for the song while wandering around the red-light district of Paris after a canceled show, wondering what it would be like to be in love with a prostitute. The title came from a poster for the play Cyrano de Bergerac — featuring a heroine named Roxanne — in the band's hotel lobby in Paris.",Outlandos d'Amour (Interscope),The Police,Sting,The Police,"Jan '79, A&M",13 weeks; No. 32
